Date,AXISBANK.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,TCS.NS
2021-01-31,660.1436157226562,658.5238647460938,2081.89453125,519.3797607421875,1090.760986328125,155.93539428710938,1254.30224609375,835.19775390625,255.6895294189453,2735.11572265625
2021-02-28,721.7862548828125,726.6731567382812,1960.6451416015625,578.1363525390625,1103.305419921875,160.2489471435547,1355.60888671875,945.7669067382812,353.6238098144531,2544.311767578125
2021-03-31,694.5499877929688,707.37451171875,2236.020263671875,562.9998168945312,1204.322021484375,171.7655029296875,1333.4302978515625,908.2681274414062,330.1938781738281,2793.574951171875
2021-04-30,711.927490234375,668.8480834960938,2164.52099609375,580.796142578125,1192.26171875,159.2663116455078,1259.7059326171875,904.36865234375,320.405029296875,2668.570068359375
2021-05-31,747.57861328125,717.8880004882812,2151.922607421875,641.0035400390625,1240.186279296875,170.2718963623047,1379.290771484375,979.5474853515625,384.6219482421875,2790.72021484375
2021-06-30,745.1885986328125,712.4573974609375,2289.064697265625,610.1986694335938,1406.6273193359375,163.95213317871094,1410.162109375,960.3711547851562,383.4620361328125,2955.55859375
2021-07-31,705.952392578125,678.47314453125,2161.24072265625,662.038330078125,1433.0546875,165.7720184326172,1522.0189208984375,926.0859985351562,394.98785400390625,2804.158935546875
2021-08-31,783.229736328125,752.1731567382812,2523.22314453125,697.4924926757812,1518.4329833984375,170.90817260742188,1589.259765625,1027.4853515625,389.72802734375,3352.16259765625
2021-09-30,763.3626708984375,758.6180419921875,2502.567626953125,679.8381958007812,1490.626220703125,191.00787353515625,1618.484619140625,1146.2890625,414.3804931640625,3342.512451171875
2021-10-31,738.914794921875,752.86279296875,2230.299560546875,778.004150390625,1497.1488037109375,180.53338623046875,1679.0250244140625,1154.0244140625,459.34033203125,3013.81640625
2021-11-30,652.923828125,710.388427734375,2159.844482421875,692.9334106445312,1537.455810546875,178.87525939941406,1677.219482421875,1094.48583984375,421.2868347167969,3130.368408203125
2021-12-31,675.7285766601562,703.6581420898438,2199.54541015625,717.9599609375,1694.64404296875,176.36788940429688,1801.864501953125,1077.5367431640625,421.1954040527344,3315.93017578125
2022-01-31,769.8356323242188,706.6547241210938,2119.024658203125,765.1514282226562,1558.5966796875,178.1068572998047,1814.5048828125,1085.9317626953125,492.4084167480469,3319.890380859375
2022-02-28,739.3131103515625,678.3779907226562,2024.2923583984375,720.4335327148438,1540.10400390625,178.7817840576172,1726.6402587890625,1073.6236572265625,442.005859375,3158.12744140625
2022-03-31,757.985107421875,699.3535766601562,1909.242431640625,708.4052734375,1711.7901611328125,207.60552978515625,1679.9755859375,1198.8427734375,451.4735107421875,3323.17822265625
2022-04-30,725.5704956054688,658.5676879882812,2082.77197265625,721.0155029296875,1407.1988525390625,214.97711181640625,1610.3111572265625,1269.597412109375,453.9890441894531,3151.4638671875
2022-05-31,682.3509521484375,668.3179321289062,2193.11474609375,730.2791748046875,1364.085205078125,229.6366424560547,1572.437744140625,1197.887451171875,434.8756103515625,3009.5712890625
2022-06-30,634.1521606445312,648.6141357421875,2097.1650390625,685.997802734375,1326.2545166015625,232.05477905273438,1480.961669921875,1181.052001953125,432.8317565917969,2922.57666015625
2022-07-31,722.8350830078125,690.0906982421875,2479.6298828125,794.0579223632812,1405.90771484375,257.1268615722656,1740.3773193359375,1141.8299560546875,490.8492126464844,2961.503662109375
2022-08-31,749.514404296875,715.0633544921875,2500.7373046875,865.8633422851562,1354.42333984375,271.9325256347656,1850.54345703125,1204.2152099609375,493.5434265136719,2880.108154296875
2022-09-30,731.2628173828125,683.9078369140625,2535.1474609375,841.1746215820312,1282.2999267578125,281.8595275878906,1778.5430908203125,1085.434814453125,492.93951416015625,2694.807373046875
2022-10-31,903.6062622070312,720.1637573242188,2398.116455078125,886.746337890625,1410.2210693359375,295.85919189453125,1947.3780517578125,1163.8839111328125,533.0733642578125,2871.3759765625
2022-11-30,898.8687744140625,773.9342651367188,2540.704833984375,929.8785400390625,1499.4573974609375,288.4775695800781,1997.1912841796875,1246.85205078125,559.6898193359375,3049.109619140625
2022-12-31,931.2828369140625,783.4132080078125,2424.0029296875,869.3275146484375,1383.2115478515625,281.30804443359375,2007.7313232421875,1162.7880859375,570.1412963867188,2928.522216796875
2023-01-31,869.2970581054688,771.552490234375,2438.862548828125,811.8018188476562,1406.6441650390625,298.95611572265625,2044.886474609375,1074.524658203125,514.2141723632812,3088.8955078125
2023-02-28,841.8697509765625,769.6759033203125,2328.97509765625,834.1973266601562,1364.2728271484375,324.85406494140625,2030.207275390625,1060.2362060546875,485.69317626953125,3046.729248046875
2023-03-31,856.231689453125,774.4635620117188,2423.340576171875,856.0560913085938,1309.6119384765625,330.7181701660156,2083.19677734375,1064.116455078125,486.5757141113281,2948.369873046875
2023-04-30,857.7277221679688,812.0186157226562,2325.8046875,895.4801025390625,1148.931396484375,366.98077392578125,2275.903564453125,1104.949951171875,537.25390625,2960.6474609375
2023-05-31,912.4328002929688,783.9777221679688,2524.8037109375,926.2191162109375,1209.049072265625,392.8144226074219,2123.095458984375,1127.5009765625,549.1620483398438,3025.25439453125
2023-06-30,984.8410034179688,828.047119140625,2555.53955078125,912.0205688476562,1241.286376953125,398.19305419921875,2382.8935546875,1164.180419921875,542.5325927734375,3059.56640625
2023-07-31,952.3505249023438,803.6154174804688,2443.562255859375,974.1817016601562,1260.061279296875,410.6255187988281,2580.990966796875,1260.8065185546875,587.3766479492188,3178.24951171875
