Date,AXISBANK.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,TCS.NS
2021-01-01,621.2062377929688,674.8863525390625,2195.604248046875,510.1914367675781,1109.599609375,164.06784057617188,1218.873046875,901.1946411132812,253.2423095703125,2569.267822265625
2021-01-04,622.1024780273438,670.600341796875,2231.422607421875,514.253662109375,1134.0726318359375,163.7225799560547,1235.412841796875,902.713623046875,254.73780822753906,2666.83544921875
2021-01-05,661.6871948242188,675.6676635742188,2253.539306640625,519.6215209960938,1138.95849609375,162.2265167236328,1227.613037109375,891.4912109375,255.372314453125,2713.8203125
2021-01-06,651.5296020507812,672.7551879882812,2222.96240234375,528.7614135742188,1128.6585693359375,157.5849151611328,1234.84912109375,867.9807739257812,258.36334228515625,2677.40869140625
2021-01-07,668.3095092773438,670.71875,2178.4072265625,523.34521484375,1111.0963134765625,155.59014892578125,1258.2962646484375,866.5751953125,260.7652893066406,2661.0009765625
2021-01-08,669.9028930664062,678.0120239257812,2198.96044921875,524.2640380859375,1155.0682373046875,154.5927734375,1290.6710205078125,876.800048828125,259.22442626953125,2738.30029296875
2021-01-11,664.1768798828125,687.3890380859375,2233.8134765625,526.8270263671875,1211.4969482421875,155.3599853515625,1268.6806640625,860.2724609375,256.0520935058594,2787.04052734375
2021-01-12,672.8904418945312,701.3834838867188,2184.890380859375,530.0188598632812,1207.579345703125,158.3904571533203,1268.4927978515625,887.3876953125,265.11590576171875,2785.63623046875
2021-01-13,684.9401245117188,696.4819946289062,2181.626220703125,538.2398681640625,1221.1363525390625,162.07310485839844,1271.0301513671875,879.1124877929688,278.07708740234375,2771.68603515625
2021-01-14,673.189208984375,695.5821533203125,2205.719970703125,535.1448974609375,1206.47900390625,164.29800415039062,1293.678466796875,888.997314453125,278.4849548339844,2857.61572265625
2021-01-15,672.0440063476562,694.5875854492188,2162.13037109375,525.182861328125,1183.9866943359375,167.1366729736328,1272.580810546875,878.5004272460938,275.4033203125,2842.36376953125
2021-01-18,654.2681884765625,702.3780517578125,2145.071533203125,515.6561279296875,1155.0244140625,168.59434509277344,1255.5709228515625,899.5848999023438,266.8833312988281,2832.166259765625
2021-01-19,665.9692993164062,712.2050170898438,2173.165283203125,528.5196533203125,1159.0738525390625,167.9038848876953,1287.3349609375,914.298828125,270.644775390625,2866.40625
2021-01-20,672.9402465820312,706.5929565429688,2166.54443359375,532.9203491210938,1179.1448974609375,166.9832305908203,1299.36376953125,931.6652221679688,274.2249450683594,2908.689697265625
2021-01-21,673.039794921875,698.4473876953125,2177.303955078125,534.5645751953125,1179.364990234375,163.9527587890625,1288.6976318359375,951.93359375,267.2458801269531,2877.966064453125
2021-01-22,641.820068359375,683.647705078125,2215.6513671875,516.2847290039062,1180.37744140625,161.65110778808594,1280.0517578125,929.3527221679688,257.1397399902344,2903.678955078125
2021-01-25,655.662353515625,692.7879638671875,2206.68505859375,520.395263671875,1166.512451171875,159.4261932373047,1279.2999267578125,880.110107421875,254.647216796875,2893.305908203125
2021-01-27,629.4717407226562,667.5694580078125,2199.05224609375,505.2103576660156,1145.296875,161.61273193359375,1277.9371337890625,859.2522583007812,249.84336853027344,2866.71337890625
2021-01-28,667.9113159179688,649.5020141601562,2115.46044921875,510.91680908203125,1123.464599609375,158.50558471679688,1264.3106689453125,850.886474609375,255.91610717773438,2810.013671875
2021-01-29,660.1436157226562,658.5238647460938,2081.89453125,519.3797607421875,1090.760986328125,155.93539428710938,1254.30224609375,835.19775390625,255.6895294189453,2735.11572265625
2021-02-01,706.4005126953125,699.3707885742188,2067.824951171875,583.98779296875,1109.995849609375,165.67897033691406,1361.5762939453125,859.3883056640625,281.61199951171875,2759.730224609375
2021-02-02,711.2302856445312,739.0574340820312,2051.1337890625,597.0932006835938,1119.1072998046875,167.40521240234375,1428.6282958984375,873.218017578125,301.9149169921875,2816.078857421875
2021-02-03,730.7488403320312,745.8060913085938,2053.34130859375,601.9291381835938,1130.9034423828125,166.29275512695312,1436.4754638671875,875.4171142578125,304.498046875,2813.0908203125
2021-02-04,740.806884765625,747.8424682617188,2065.066162109375,607.6840209960938,1126.2376708984375,176.419921875,1437.6500244140625,872.5377807617188,321.8551940917969,2802.893310546875
2021-02-05,716.6078491210938,756.6038208007812,2087.0908203125,593.998291015625,1119.8553466796875,179.7956085205078,1425.1512451171875,872.2883911132812,356.297607421875,2776.0810546875
2021-02-08,733.089111328125,760.2267456054688,2056.835693359375,608.9412841796875,1147.54150390625,178.83660888671875,1458.3248291015625,884.848388671875,359.8777770996094,2825.44140625
2021-02-09,739.4127197265625,763.3525390625,2038.0755615234375,612.5682373046875,1149.3023681640625,175.6910400390625,1472.09228515625,886.9795532226562,357.8384704589844,2792.7392578125
2021-02-10,731.74462890625,749.0975952148438,2055.77783203125,611.4076538085938,1141.3350830078125,174.57859802246094,1459.311767578125,895.2093505859375,355.52716064453125,2824.73779296875
2021-02-11,737.0226440429688,744.6458740234375,2081.06689453125,609.9568481445312,1137.9459228515625,173.7346649169922,1438.3079833984375,932.1185913085938,353.6238098144531,2818.320556640625
2021-02-12,747.2799072265625,749.1922607421875,2061.341552734375,626.3505859375,1153.04345703125,166.8297882080078,1429.7091064453125,925.7252197265625,356.3429260253906,2804.958984375
2021-02-15,790.6985473632812,765.60205078125,2037.1097412109375,651.8360595703125,1152.911376953125,167.71206665039062,1445.0272216796875,921.6443481445312,368.8509826660156,2760.169921875
